,g,date,time,day,school,home/away,opponent,conf,w/l,pts,opp,w,l,streak,notes,pct_passing,yds_passing,td_passing,yds_rushing,avg_rushing,td_rushing,yds_tot_off,avg_tot_off.,tot_first_downs,no_penalties,tot_turnovers,team
7,8,2023-10-28,10:30 PM,Sat,Nevada-Las Vegas,@,Fresno State,MWC,L,24,31,6,2,L 1,,60.0,268,2,156,3.6,1,424,5.4,22,6,4,nevada las vegas
8,9,2023-11-04,6:00 PM,Sat,Nevada-Las Vegas,@,New Mexico,MWC,W,56,14,7,2,W 1,,72.2,247,3,169,5.3,5,416,8.3,17,6,0,nevada las vegas
9,10,2023-11-10,10:45 PM,Fri,Nevada-Las Vegas,,Wyoming,MWC,W,34,14,8,2,W 2,,70.8,232,1,165,3.6,3,397,5.7,19,4,1,nevada las vegas
10,11,2023-11-18,3:30 PM,Sat,Nevada-Las Vegas,@,Air Force,MWC,W,31,27,9,2,W 3,,53.3,351,2,114,3.5,2,465,7.4,15,10,2,nevada las vegas
11,12,2023-11-25,3:00 PM,Sat,Nevada-Las Vegas,,San Jose State,MWC,L,31,37,9,3,L 1,,65.5,229,1,182,5.7,3,411,6.7,22,4,1,nevada las vegas
12,13,2023-12-02,3:00 PM,Sat,Nevada-Las Vegas,,Boise State,MWC,L,20,44,9,4,L 2,MWC Championship Game,47.4,217,0,81,2.9,1,298,4.5,16,7,3,nevada las vegas
13,14,2023-12-26,8:00 PM,Tue,Nevada-Las Vegas,N,Kansas,Big 12,L,36,49,9,5,L 3,Guaranteed Rate Bowl,68.6,291,3,95,4.0,2,386,6.5,23,9,2,nevada las vegas
0,1,2023-09-02,1:00 PM,Sat,Air Force,,Robert Morris,Non-Major,W,42,7,1,0,W 1,,66.7,95,1,374,6.7,5,469,7.9,24,2,1,air force
1,2,2023-09-09,8:00 PM,Sat,Air Force,N,Sam Houston,CUSA,W,13,3,2,0,W 2,,33.3,14,0,244,4.1,1,258,4.2,18,2,1,air force
2,3,2023-09-15,8:00 PM,Fri,Air Force,,Utah State,MWC,W,39,21,3,0,W 3,,75.0,84,0,344,5.4,5,428,6.3,24,6,0,air force
3,4,2023-09-22,10:30 PM,Fri,Air Force,@,San Jose State,MWC,W,45,20,4,0,W 4,,100.0,28,0,400,5.5,6,428,5.7,25,4,0,air force
4,5,2023-09-30,8:00 PM,Sat,Air Force,,San Diego State,MWC,W,49,10,5,0,W 5,,85.7,189,2,287,5.5,4,476,8.1,24,1,0,air force
5,6,2023-10-14,7:00 PM,Sat,Air Force,,Wyoming,MWC,W,34,27,6,0,W 6,,66.7,58,1,356,6.7,3,414,6.7,22,1,2,air force
6,7,2023-10-21,12:00 PM,Sat,(22) Air Force,@,Navy,American,W,17,6,7,0,W 7,,80.0,151,1,137,2.9,0,288,5.4,9,5,1,air force
7,8,2023-10-28,7:00 PM,Sat,(19) Air Force,@,Colorado State,MWC,W,30,13,8,0,W 8,,57.1,32,1,261,4.6,3,293,4.6,18,2,0,air force
8,9,2023-11-04,2:30 PM,Sat,(17) Air Force,N,Army,Ind,L,3,23,8,1,L 1,,41.7,104,0,155,3.9,0,259,4.0,19,6,6,air force
9,10,2023-11-11,11:00 PM,Sat,Air Force,@,Hawaii,MWC,L,13,27,8,2,L 2,,33.3,114,0,201,4.3,1,315,5.6,17,3,4,air force
10,11,2023-11-18,3:30 PM,Sat,Air Force,,Nevada-Las Vegas,MWC,L,27,31,8,3,L 3,,33.3,60,0,344,5.5,3,404,5.7,22,4,1,air force
11,12,2023-11-24,4:00 PM,Fri,Air Force,@,Boise State,MWC,L,19,27,8,4,L 4,,44.4,131,0,206,4.6,2,337,5.3,16,3,1,air force
12,13,2023-12-23,3:30 PM,Sat,Air Force,N,(24) James Madison,Sun Belt,W,31,21,9,4,W 1,Armed Forces Bowl,60.0,45,1,351,5.6,3,396,5.8,18,0,0,air force
0,1,2023-09-02,7:30 PM,Sat,Wyoming,,Texas Tech,Big 12,W,35,33,1,0,W 1,,52.9,149,2,171,3.9,2,320,4.1,24,3,2,wyoming
1,2,2023-09-09,4:00 PM,Sat,Wyoming,,Portland State,Non-Major,W,31,17,2,0,W 2,,68.8,201,3,170,4.4,1,371,6.7,19,3,2,wyoming
2,3,2023-09-16,8:00 PM,Sat,Wyoming,@,(4) Texas,Big 12,L,10,31,2,1,L 1,,60.7,136,0,155,4.1,1,291,4.4,17,3,1,wyoming
3,4,2023-09-23,7:00 PM,Sat,Wyoming,,Appalachian State,Sun Belt,W,22,19,3,1,W 1,,33.3,31,0,177,6.6,2,208,5.0,7,8,1,wyoming
4,5,2023-09-30,4:00 PM,Sat,Wyoming,,New Mexico,MWC,W,35,26,4,1,W 2,,64.0,194,1,239,7.7,2,433,7.7,18,6,0,wyoming
5,6,2023-10-07,8:00 PM,Sat,Wyoming,,(24) Fresno State,MWC,W,24,19,5,1,W 3,,71.4,199,3,130,3.7,0,329,5.2,27,2,0,wyoming
6,7,2023-10-14,7:00 PM,Sat,Wyoming,@,Air Force,MWC,L,27,34,5,2,L 1,,60.0,212,3,109,3.1,1,321,5.4,18,3,0,wyoming
7,8,2023-10-28,5:30 PM,Sat,Wyoming,@,Boise State,MWC,L,7,32,5,3,L 2,,47.6,85,1,27,1.1,0,112,2.5,8,5,1,wyoming
8,9,2023-11-03,8:00 PM,Fri,Wyoming,,Colorado State,MWC,W,24,15,6,3,W 1,,68.2,140,2,194,4.3,1,334,5.0,21,10,1,wyoming
9,10,2023-11-10,10:45 PM,Fri,Wyoming,@,Nevada-Las Vegas,MWC,L,14,34,6,4,L 1,,53.6,176,0,121,3.7,2,297,4.9,16,2,2,wyoming
10,11,2023-11-18,2:00 PM,Sat,Wyoming,,Hawaii,MWC,W,42,9,7,4,W 1,,82.4,319,3,153,4.6,3,472,9.4,20,0,1,wyoming
11,12,2023-11-25,9:00 PM,Sat,Wyoming,@,Nevada,MWC,W,42,6,8,4,W 2,,66.7,165,2,244,5.7,3,409,6.7,24,4,0,wyoming
12,13,2023-12-30,4:30 PM,Sat,Wyoming,N,Toledo,MAC,W,16,15,9,4,W 3,Arizona Bowl,77.8,184,0,170,4.1,1,354,5.2,23,2,0,wyoming
0,1,2023-09-02,12:00 PM,Sat,Fresno State,@,Purdue,Big Ten,W,39,35,1,0,W 1,,71.1,371,4,116,3.1,1,487,5.9,27,7,1,fresno state
1,2,2023-09-09,9:00 PM,Sat,Fresno State,,Eastern Washington,Non-Major,W,34,31,2,0,W 2,,59.0,233,2,132,3.9,2,365,5.0,21,7,1,fresno state
2,3,2023-09-16,10:30 PM,Sat,Fresno State,@,Arizona State,Pac-12,W,29,0,3,0,W 3,,65.3,281,2,69,2.0,0,350,4.2,24,9,0,fresno state
3,4,2023-09-23,10:30 PM,Sat,Fresno State,,Kent State,MAC,W,53,10,4,0,W 4,,76.5,370,5,143,4.3,2,513,7.7,29,3,0,fresno state
4,5,2023-09-30,10:30 PM,Sat,(25) Fresno State,,Nevada,MWC,W,27,9,5,0,W 5,,76.5,269,2,141,5.6,1,410,6.9,19,3,2,fresno state
5,6,2023-10-07,8:00 PM,Sat,(24) Fresno State,@,Wyoming,MWC,L,19,24,5,1,L 1,,65.2,286,2,38,1.9,0,324,4.9,17,8,1,fresno state
6,7,2023-10-13,8:00 PM,Fri,Fresno State,@,Utah State,MWC,W,37,32,6,1,W 1,,57.5,310,2,151,3.8,3,461,5.8,28,5,0,fresno state
7,8,2023-10-28,10:30 PM,Sat,Fresno State,,Nevada-Las Vegas,MWC,W,31,24,7,1,W 2,,65.9,256,4,56,2.8,0,312,5.1,15,4,2,fresno state
8,9,2023-11-04,10:00 PM,Sat,Fresno State,,Boise State,MWC,W,37,30,8,1,W 3,,62.5,303,1,138,4.8,2,441,6.4,23,1,1,fresno state
9,10,2023-11-11,10:30 PM,Sat,Fresno State,@,San Jose State,MWC,L,18,42,8,2,L 1,,56.1,225,2,83,2.7,0,308,4.3,19,1,2,fresno state
10,11,2023-11-18,10:30 PM,Sat,Fresno State,,New Mexico,MWC,L,17,25,8,3,L 2,,56.3,195,0,34,1.8,2,229,4.5,13,2,1,fresno state
11,12,2023-11-25,10:30 PM,Sat,Fresno State,@,San Diego State,MWC,L,18,33,8,4,L 3,,56.8,190,0,151,7.9,2,341,6.1,17,1,1,fresno state
12,13,2023-12-16,5:45 PM,Sat,Fresno State,N,New Mexico State,CUSA,W,37,10,9,4,W 1,New Mexico Bowl,77.5,380,3,120,4.8,1,500,7.7,23,7,2,fresno state
0,1,2023-09-02,12:03 PM,Sat,Utah State,@,(25) Iowa,Big Ten,L,14,24,0,1,L 1,,66.7,213,1,116,4.8,0,329,4.6,19,10,1,utah state
1,2,2023-09-09,8:00 PM,Sat,Utah State,,Idaho State,Non-Major,W,78,28,1,1,W 1,,78.6,211,4,380,9.3,5,591,8.6,23,4,0,utah state
2,3,2023-09-15,8:00 PM,Fri,Utah State,@,Air Force,MWC,L,21,39,1,2,L 1,,57.1,248,3,54,2.1,0,302,5.0,20,4,2,utah state
3,4,2023-09-23,8:00 PM,Sat,Utah State,,James Madison,Sun Belt,L,38,45,1,3,L 2,,55.1,402,4,98,3.2,1,500,6.3,21,9,3,utah state
4,5,2023-09-30,12:00 PM,Sat,Utah State,@,Connecticut,Ind,W,34,33,2,3,W 1,,70.8,315,4,101,3.2,0,416,7.4,21,7,2,utah state
5,6,2023-10-07,8:00 PM,Sat,Utah State,,Colorado State,MWC,W,44,24,3,3,W 2,,65.5,387,4,252,4.6,2,639,7.6,28,7,4,utah state
6,7,2023-10-13,8:00 PM,Fri,Utah State,,Fresno State,MWC,L,32,37,3,4,L 1,,57.5,363,3,205,4.9,1,568,6.9,30,8,2,utah state
7,8,2023-10-21,7:00 PM,Sat,Utah State,@,San Jose State,MWC,L,21,42,3,5,L 2,,58.6,160,2,104,3.2,1,264,4.3,16,7,3,utah state
8,9,2023-11-04,7:00 PM,Sat,Utah State,@,San Diego State,MWC,W,32,24,4,5,W 1,,71.9,229,2,171,3.9,2,400,5.3,20,6,0,utah state
9,10,2023-11-11,3:00 PM,Sat,Utah State,,Nevada,MWC,W,41,24,5,5,W 2,,54.5,182,3,292,6.6,1,474,6.2,22,13,2,utah state
